,csii50,fx,csii50/fx,0400,0434,0700,0777,1060,1980,2280,3888,TOUR,WB,YY,CYOU,MOMO,JD,BIDU,BZUN,CTRP,JOBS,NTES,SINA,SOHU,VNET,TAL,YRD,ATHM,BABA,BITA,CMCM,JMEI,LEJU,SFUN,VIPS,WBAI,WUBA
2017-09-21,9476.18,6.59,1437.96358118,5.1100000000000003,3.2599999999999998,347.19999999999999,28.050000000000001,1.27,5.7000000000000002,6.21,18.48,7.9500000000000002,99.810000000000002,76.069999999999993,39.890000000000001,35.420000000000002,42.979999999999997,238.91999999999999,37.82,53.420000000000002,58.5,277.62,115.41,54.859999999999999,6.0899999999999999,33.539999999999999,43.710000000000001,63.090000000000003,177.38999999999999,45.399999999999999,8.9800000000000004,3.1299999999999999,1.75,4.2800000000000002,9.3200000000000003,11.01,66.879999999999995
2017-09-22,9465.98,6.59,1436.41578149,5.0499999999999998,3.21,346.19999999999999,27.350000000000001,1.28,5.8700000000000001,6.2000000000000002,18.300000000000001,7.7999999999999998,100.04000000000001,80.519999999999996,39.75,34.969999999999999,42.369999999999997,240.56999999999999,37.729999999999997,52.909999999999997,61.75,271.61000000000001,115.68000000000001,54.920000000000002,6.1600000000000001,33.159999999999997,44.75,64.170000000000002,178.13999999999999,45.159999999999997,8.9700000000000006,3.0499999999999998,1.75,4.29,9.3499999999999996,11.23,66.780000000000001
2017-09-23,9465.98,6.59,1436.41578149,5.0499999999999998,3.21,346.19999999999999,27.350000000000001,1.28,5.8700000000000001,6.2000000000000002,18.300000000000001,7.7999999999999998,100.04000000000001,80.519999999999996,39.75,34.969999999999999,42.369999999999997,240.56999999999999,37.729999999999997,52.909999999999997,61.75,271.61000000000001,115.68000000000001,54.920000000000002,6.1600000000000001,33.159999999999997,44.75,64.170000000000002,178.13999999999999,45.159999999999997,8.9700000000000006,3.0499999999999998,1.75,4.29,9.3499999999999996,11.23,66.780000000000001
2017-09-24,9465.98,6.59,1436.41578149,5.0499999999999998,3.21,346.19999999999999,27.350000000000001,1.28,5.8700000000000001,6.2000000000000002,18.300000000000001,7.7999999999999998,100.04000000000001,80.519999999999996,39.75,34.969999999999999,42.369999999999997,240.56999999999999,37.729999999999997,52.909999999999997,61.75,271.61000000000001,115.68000000000001,54.920000000000002,6.1600000000000001,33.159999999999997,44.75,64.170000000000002,178.13999999999999,45.159999999999997,8.9700000000000006,3.0499999999999998,1.75,4.29,9.3499999999999996,11.23,66.780000000000001
2017-09-25,9208.4,6.62,1390.99697885,4.7999999999999998,3.1200000000000001,341.60000000000002,25.699999999999999,1.25,5.75,6.21,18.239999999999998,7.7000000000000002,95.560000000000002,77.469999999999999,39.0,33.649999999999999,40.93,234.49000000000001,36.055,52.509999999999998,59.549999999999997,263.69,111.56999999999999,53.270000000000003,6.0099999999999998,31.699999999999999,42.460000000000001,63.18,169.59,42.270000000000003,8.5099999999999998,2.8900000000000001,1.6100000000000001,3.7400000000000002,9.0099999999999998,11.08,58.670000000000002
2017-09-26,9176.29,6.64,1381.97138554,4.7000000000000002,3.0800000000000001,337.60000000000002,25.600000000000001,1.25,5.7699999999999996,6.2400000000000002,18.16,7.7199999999999998,96.909999999999997,84.420000000000002,39.119999999999997,32.5,40.32,236.19,35.210000000000001,51.75,60.259999999999998,258.19,112.87,53.060000000000002,7.1900000000000004,31.73,42.520000000000003,63.979999999999997,167.02000000000001,43.07,8.5800000000000001,3.04,1.6299999999999999,4.0,9.0099999999999998,11.199999999999999,60.420000000000002
2017-09-27,9276.6,6.64,1397.07831325,4.8499999999999996,3.1499999999999999,338.39999999999998,26.399999999999999,1.26,5.79,6.2599999999999998,18.260000000000002,7.8700000000000001,98.450000000000003,85.079999999999998,39.009999999999998,32.670000000000002,39.710000000000001,239.81999999999999,34.859999999999999,52.32,61.229999999999997,257.75999999999999,114.37,53.740000000000002,5.8700000000000001,33.210000000000001,44.710000000000001,63.68,170.99000000000001,44.149999999999999,8.6699999999999999,2.96,1.6799999999999999,3.96,9.1699999999999999,11.279999999999999,61.740000000000002
2017-09-28,9254.18,6.66,1389.51651652,4.8099999999999996,3.1099999999999999,333.0,25.850000000000001,1.24,5.8799999999999999,6.3099999999999996,18.18,8.0899999999999999,98.090000000000003,85.819999999999993,39.0,32.439999999999998,38.649999999999999,241.28,33.43,52.82,60.600000000000001,257.35000000000002,113.45999999999999,53.649999999999999,5.6500000000000004,33.609999999999999,43.140000000000001,60.969999999999999,170.24000000000001,45.159999999999997,8.8000000000000007,2.8799999999999999,1.71,4.0,9.1999999999999993,11.1,62.219999999999999
2017-09-29,9338.07,6.65,1404.22105263,4.7999999999999998,3.1200000000000001,336.19999999999999,26.100000000000001,1.25,5.6900000000000004,6.2999999999999998,18.199999999999999,7.8200000000000003,98.939999999999998,86.780000000000001,39.609999999999999,31.34,38.200000000000003,247.69,32.759999999999998,52.740000000000002,60.609999999999999,263.81,114.65000000000001,54.450000000000003,5.6900000000000004,33.710000000000001,41.939999999999998,60.079999999999998,172.71000000000001,44.68,8.4100000000000001,2.8999999999999999,1.6899999999999999,4.0499999999999998,8.7899999999999991,11.0,63.140000000000001
2017-10-05,9566.74,6.65,1438.6075188,4.7999999999999998,3.1200000000000001,336.19999999999999,26.100000000000001,1.25,5.6900000000000004,6.2999999999999998,18.199999999999999,7.9199999999999999,101.5,88.950000000000003,40.229999999999997,31.41,39.140000000000001,245.27000000000001,34.359999999999999,56.229999999999997,60.729999999999997,273.10000000000002,116.05,55.090000000000003,6.8600000000000003,33.869999999999997,44.740000000000002,61.890000000000001,178.88999999999999,47.130000000000003,8.3900000000000006,2.9300000000000002,1.6200000000000001,4.1299999999999999,8.5299999999999994,11.210000000000001,64.969999999999999
